country,ticker,last_close,sma50,sma200,above_both
USA,^GSPC,7711.76,7563.79,7118.72,True
Eurozona,^STOXX50E,6485.67,6364.96,5995.63,True
Reino_Unido,^FTSE,10824.3,10692.58,10331.38,True
Alemania,^GDAXI,26569.99,25581.76,24611.0,True
Francia,^FCHI,8401.18,8463.04,8229.36,False
Espana,^IBEX,20041.9,19704.25,18118.97,True
Suiza,^SSMI,14399.77,14340.84,13471.71,True
Japon,^N225,66405.56,67184.92,58619.53,False
China_onshore,000001.SS,3952.18,3941.52,4011.8,False
China_HK,^HSI,25584.79,24814.37,25686.24,False
India,^BSESN,77264.51,77464.56,79542.18,False
Brasil,^BVSP,175665.0,173080.94,174709.61,True
Mexico,^MXX,65484.32,66325.69,67068.64,False
Canada,^GSPTSE,36553.9,35689.14,33633.92,True
Australia,^AXJO,9092.3,8950.72,8798.56,True
Corea_Sur,^KS11,6788.88,7159.43,5996.21,False
Taiwan,^TWII,46331.45,44937.16,36783.29,True
Indonesia,^JKSE,6518.12,6171.56,7406.74,False
Singapur,^STI,5699.93,5517.04,5014.5,True
Turquia,XU100.IS,14641.6,14140.1,13258.75,True
Argentina,^MERV,2979472.0,3155214.64,2999465.06,False
